Date,Temp,Weight
8/1/2022 0:0,35.65,13.5685
8/1/2022 0:5,35.6,13.5652
8/1/2022 0:10,35.56,13.5673
8/1/2022 0:15,35.52,13.5673
8/1/2022 0:20,35.43,13.567
8/1/2022 0:25,35.43,13.567
8/1/2022 0:30,35.39,13.5655
8/1/2022 0:35,35.39,13.5655
8/1/2022 0:40,35.39,13.5655
8/1/2022 0:45,35.39,13.5655
8/1/2022 0:50,35.35,13.5648
8/1/2022 0:55,35.35,13.5652
8/1/2022 1:0,35.35,13.5648
8/1/2022 1:5,35.35,13.5648
8/1/2022 1:10,35.39,13.5648
8/1/2022 1:15,35.39,13.5642
8/1/2022 1:20,35.39,13.5642
8/1/2022 1:25,35.43,13.5642
8/1/2022 1:30,35.35,13.5645
8/1/2022 1:35,35.3,13.5642
8/1/2022 1:40,35.3,13.5642
8/1/2022 1:45,35.3,13.5645
8/1/2022 1:50,35.26,13.5645
8/1/2022 1:55,35.26,13.5642
8/1/2022 2:0,35.22,13.5642
8/1/2022 2:5,35.22,13.5645
8/1/2022 2:10,35.22,13.5639
8/1/2022 2:15,35.18,13.5645
8/1/2022 2:20,35.13,13.5642
8/1/2022 2:25,35.13,13.5645
8/1/2022 2:30,35.18,13.5642
8/1/2022 2:35,35.13,13.5642
8/1/2022 2:40,35.09,13.5642
8/1/2022 2:45,35.09,13.5645
8/1/2022 2:50,35.09,13.5645
8/1/2022 2:55,35.09,13.5639
8/1/2022 3:0,35.13,13.5639
8/1/2022 3:5,35.18,13.5642
8/1/2022 3:10,35.18,13.5639
8/1/2022 3:15,35.22,13.5642
8/1/2022 3:20,35.18,13.5636
8/1/2022 3:25,35.18,13.5639
8/1/2022 3:30,35.18,13.5645
8/1/2022 3:35,35.22,13.5639
8/1/2022 3:40,35.22,13.5639
8/1/2022 3:45,35.22,13.5639
8/1/2022 3:50,35.18,13.5639
8/1/2022 3:55,35.22,13.5639
8/1/2022 4:0,35.26,13.5639
8/1/2022 4:5,35.22,13.5642
8/1/2022 4:10,35.3,13.5639
8/1/2022 4:15,35.26,13.5639
8/1/2022 4:20,35.3,13.5639
8/1/2022 4:25,35.3,13.5639
8/1/2022 4:30,35.26,13.5639
8/1/2022 4:35,35.3,13.5639
8/1/2022 4:40,35.3,13.5639
8/1/2022 4:45,35.35,13.5639
8/1/2022 4:50,35.35,13.5639
8/1/2022 4:55,35.3,13.5645
8/1/2022 5:0,35.3,13.5639
8/1/2022 5:5,35.3,13.5645
8/1/2022 5:10,35.26,13.5645
8/1/2022 5:15,35.26,13.5648
8/1/2022 5:20,35.26,13.5648
8/1/2022 5:25,35.3,13.5648
8/1/2022 5:30,35.3,13.5642
8/1/2022 5:35,35.26,13.5645
8/1/2022 5:40,35.26,13.5642
8/1/2022 5:45,35.3,13.5642
8/1/2022 5:50,35.26,13.5639
8/1/2022 5:55,35.22,13.5639
8/2/2022 0:0,35.35,13.5076
8/2/2022 0:5,35.43,13.5076
8/2/2022 0:10,35.43,13.5076
8/2/2022 0:15,35.52,13.5076
8/2/2022 0:20,35.52,13.507
8/2/2022 0:25,35.56,13.507
8/2/2022 0:30,35.56,13.507
8/2/2022 0:35,35.52,13.507
8/2/2022 0:40,35.52,13.507
8/2/2022 0:45,35.48,13.507
8/2/2022 0:50,35.43,13.5067
8/2/2022 0:55,35.39,13.5067
8/2/2022 1:0,35.39,13.5067
8/2/2022 1:5,35.39,13.5067
8/2/2022 1:10,35.39,13.5061
8/2/2022 1:15,35.39,13.5061
8/2/2022 1:20,35.39,13.5067
8/2/2022 1:25,35.43,13.5061
8/2/2022 1:30,35.43,13.5061
8/2/2022 1:35,35.43,13.5058
8/2/2022 1:40,35.39,13.5052
8/2/2022 1:45,35.43,13.5052
8/2/2022 1:50,35.43,13.5045
8/2/2022 1:55,35.43,13.5045
8/2/2022 2:0,35.43,13.5045
8/2/2022 2:5,35.43,13.5045
8/2/2022 2:10,35.39,13.5045
8/2/2022 2:15,35.39,13.5042
8/2/2022 2:20,35.35,13.5042
8/2/2022 2:25,35.3,13.5042
8/2/2022 2:30,35.3,13.5042
8/2/2022 2:35,35.26,13.5036
8/2/2022 2:40,35.26,13.5036
8/2/2022 2:45,35.22,13.5042
8/2/2022 2:50,35.26,13.5036
8/2/2022 2:55,35.22,13.5036
8/2/2022 3:0,35.22,13.5036
8/2/2022 3:5,35.22,13.5036
8/2/2022 3:10,35.26,13.5036
8/2/2022 3:15,35.26,13.5036
8/2/2022 3:20,35.3,13.5033
8/2/2022 3:25,35.26,13.5033
8/2/2022 3:30,35.22,13.5036
8/2/2022 3:35,35.26,13.5036
8/2/2022 3:40,35.3,13.5033
8/2/2022 3:45,35.26,13.5033
8/2/2022 3:50,35.3,13.5033
8/2/2022 3:55,35.3,13.5033
8/2/2022 4:0,35.3,13.5033
8/2/2022 4:5,35.26,13.5033
8/2/2022 4:10,35.26,13.503
8/2/2022 4:15,35.3,13.5033
8/2/2022 4:20,35.3,13.5033
8/2/2022 4:25,35.3,13.5033
8/2/2022 4:30,35.26,13.5033
8/2/2022 4:35,35.3,13.5033
8/2/2022 4:40,35.22,13.5033
8/2/2022 4:45,35.26,13.5033
8/2/2022 4:50,35.22,13.5033
8/2/2022 4:55,35.3,13.5027
8/2/2022 5:0,35.3,13.5033
8/2/2022 5:5,35.3,13.5033
8/2/2022 5:10,35.26,13.5033
8/2/2022 5:15,35.26,13.5033
8/2/2022 5:20,35.3,13.503
8/2/2022 5:25,35.3,13.5033
8/2/2022 5:30,35.26,13.5027
8/2/2022 5:35,35.35,13.5033
8/2/2022 5:40,35.35,13.5027
8/2/2022 5:45,35.35,13.5033
8/2/2022 5:50,35.35,13.5033
8/2/2022 5:55,35.35,13.4796
8/3/2022 0:0,35.26,13.4664
8/3/2022 0:5,35.22,13.4667
8/3/2022 0:10,35.22,13.4661
8/3/2022 0:15,35.22,13.4661
8/3/2022 0:20,35.26,13.4658
8/3/2022 0:25,35.26,13.4652
8/3/2022 0:30,35.26,13.4649
8/3/2022 0:35,35.22,13.4649
8/3/2022 0:40,35.18,13.4642
8/3/2022 0:45,35.22,13.4639
8/3/2022 0:50,35.22,13.4636
8/3/2022 0:55,35.26,13.4636
8/3/2022 1:0,35.22,13.4633
8/3/2022 1:5,35.26,13.463
8/3/2022 1:10,35.26,13.463
8/3/2022 1:15,35.26,13.4633
8/3/2022 1:20,35.3,13.4627
8/3/2022 1:25,35.35,13.4621
8/3/2022 1:30,35.3,13.4621
8/3/2022 1:35,35.3,13.4624
8/3/2022 1:40,35.3,13.4621
8/3/2022 1:45,35.26,13.4621
8/3/2022 1:50,35.22,13.4618
8/3/2022 1:55,35.13,13.4618
8/3/2022 2:0,35.13,13.4612
8/3/2022 2:5,35.09,13.4612
8/3/2022 2:10,35.09,13.4612
8/3/2022 2:15,35.09,13.4609
8/3/2022 2:20,35.09,13.4609
8/3/2022 2:25,35.13,13.4609
8/3/2022 2:30,35.13,13.4602
8/3/2022 2:35,35.13,13.4602
8/3/2022 2:40,35.09,13.4602
8/3/2022 2:45,35.09,13.4599
8/3/2022 2:50,35.09,13.4599
8/3/2022 2:55,35.05,13.4599
8/3/2022 3:0,35.0,13.4593
8/3/2022 3:5,35.05,13.4593
8/3/2022 3:10,34.96,13.4587
8/3/2022 3:15,35.0,13.459
8/3/2022 3:20,35.0,13.4584
8/3/2022 3:25,34.96,13.4578
8/3/2022 3:30,35.0,13.4578
8/3/2022 3:35,35.05,13.4575
8/3/2022 3:40,35.0,13.4575
8/3/2022 3:45,35.09,13.4581
8/3/2022 3:50,35.09,13.4575
8/3/2022 3:55,35.09,13.4575
8/3/2022 4:0,35.09,13.4575
8/3/2022 4:5,35.09,13.4575
8/3/2022 4:10,35.09,13.4569
8/3/2022 4:15,35.09,13.4566
8/3/2022 4:20,35.09,13.4566
8/3/2022 4:25,35.09,13.4566
8/3/2022 4:30,35.09,13.4556
8/3/2022 4:35,35.18,13.4559
8/3/2022 4:40,35.09,13.4559
8/3/2022 4:45,35.13,13.4556
8/3/2022 4:50,35.13,13.455
8/3/2022 4:55,35.13,13.455
8/3/2022 5:0,35.05,13.455
8/3/2022 5:5,35.09,13.4547
8/3/2022 5:10,35.09,13.4547
8/3/2022 5:15,35.05,13.455
8/3/2022 5:20,35.13,13.4544
8/3/2022 5:25,35.13,13.4535
8/3/2022 5:30,35.13,13.4522
8/3/2022 5:35,35.18,13.4519
8/3/2022 5:40,35.18,13.4522
8/3/2022 5:45,35.18,13.4516
8/3/2022 5:50,35.26,13.4507
8/3/2022 5:55,35.3,13.4504
8/4/2022 0:0,35.18,13.4104
8/4/2022 0:5,35.3,13.4095
8/4/2022 0:10,35.35,13.4092
8/4/2022 0:15,35.39,13.4089
8/4/2022 0:20,35.52,13.4067
8/4/2022 0:25,35.48,13.4086
8/4/2022 0:30,35.48,13.407
8/4/2022 0:35,35.43,13.4067
8/4/2022 0:40,35.43,13.4067
8/4/2022 0:45,35.43,13.4061
8/4/2022 0:50,35.35,13.4064
8/4/2022 0:55,35.35,13.407
8/4/2022 1:0,35.35,13.4079
8/4/2022 1:5,35.3,13.4083
8/4/2022 1:10,35.3,13.4092
8/4/2022 1:15,35.3,13.4089
8/4/2022 1:20,35.26,13.4095
8/4/2022 1:25,35.35,13.4086
8/4/2022 1:30,35.35,13.4079
8/4/2022 1:35,35.39,13.4086
8/4/2022 1:40,35.35,13.4086
8/4/2022 1:45,35.39,13.4086
