Date,Temp,Weight
6/21/2022 20:0,35.86,14.3607
6/21/2022 20:5,35.9,14.3589
6/21/2022 20:10,35.82,14.3607
6/21/2022 20:15,35.9,14.3666
6/21/2022 20:20,35.9,14.3638
6/21/2022 20:25,35.86,14.369
6/21/2022 20:30,35.86,14.3703
6/21/2022 20:35,35.82,14.3709
6/21/2022 20:40,35.82,14.3724
6/21/2022 20:45,35.82,14.3724
6/21/2022 20:50,35.86,14.3709
6/21/2022 20:55,35.82,14.3696
6/21/2022 21:0,35.82,14.3709
6/21/2022 21:5,35.86,14.3718
6/21/2022 21:10,35.9,14.3696
6/21/2022 21:15,35.95,14.3715
6/21/2022 21:20,35.9,14.3712
6/21/2022 21:25,35.9,14.3709
6/21/2022 21:30,35.99,14.3675
6/21/2022 21:35,36.03,14.3681
6/21/2022 21:40,36.12,14.3666
6/21/2022 21:45,36.16,14.3669
6/21/2022 21:50,36.21,14.3675
6/21/2022 21:55,36.25,14.3675
6/21/2022 22:0,36.21,14.3687
6/21/2022 22:5,36.16,14.3684
6/21/2022 22:10,36.16,14.3678
6/21/2022 22:15,36.16,14.3312
6/21/2022 22:20,36.12,14.3666
6/21/2022 22:25,36.16,14.365
6/21/2022 22:30,36.12,14.3647
6/21/2022 22:35,36.12,14.3666
6/21/2022 22:40,36.16,14.3601
6/21/2022 22:45,36.08,14.3641
6/21/2022 22:50,36.08,14.3613
6/21/2022 22:55,35.95,14.3579
6/21/2022 23:0,35.95,14.3576
6/21/2022 23:5,35.99,14.3592
6/21/2022 23:10,35.9,14.3576
6/21/2022 23:15,35.99,14.3564
6/21/2022 23:20,36.03,14.3518
6/21/2022 23:25,36.03,14.3579
6/21/2022 23:30,36.08,14.3583
6/21/2022 23:35,36.25,14.3567
6/21/2022 23:40,36.25,14.3573
6/21/2022 23:45,36.16,14.3576
6/21/2022 23:50,36.12,14.3549
6/21/2022 23:55,36.12,14.3564
6/22/2022 20:0,36.76,14.4019
6/22/2022 20:5,36.63,14.4007
6/22/2022 20:10,36.72,14.4059
6/22/2022 20:15,36.68,14.4093
6/22/2022 20:20,37.02,14.4121
6/22/2022 20:25,36.98,14.4093
6/22/2022 20:30,36.93,14.4142
6/22/2022 20:35,36.85,14.4152
6/22/2022 20:40,36.76,14.4133
6/22/2022 20:45,36.68,14.4161
6/22/2022 20:50,36.63,14.417
6/22/2022 20:55,36.55,14.4152
6/22/2022 21:0,36.46,14.4155
6/22/2022 21:5,36.46,14.4176
6/22/2022 21:10,36.42,14.4155
6/22/2022 21:15,36.38,14.4121
6/22/2022 21:20,36.33,14.4198
